obs_betaVAE_forward0 | PSNR = 13.996 dB | SSIM = 0.637 | Classifier = (9, 1.00)
obs_betaVAE_inverse0 | PSNR = 18.695 dB | SSIM = 0.829 | Classifier = (4, 1.00)
obs_betaVAE_forward1 | PSNR = 11.393 dB | SSIM = 0.328 | Classifier = (2, 1.00)
obs_betaVAE_inverse1 | PSNR = 16.057 dB | SSIM = 0.783 | Classifier = (4, 1.00)
obs_cvae_forward0 | PSNR = 14.410 dB | SSIM = 0.610 | Classifier = (9, 1.00)
obs_cvae_inverse0 | PSNR = 15.374 dB | SSIM = 0.686 | Classifier = (4, 1.00)
obs_cvae_forward1 | PSNR = 10.083 dB | SSIM = 0.194 | Classifier = (2, 1.00)
obs_cvae_inverse1 | PSNR = 15.724 dB | SSIM = 0.713 | Classifier = (4, 1.00)
obs_blur_forward0 | PSNR = 14.523 dB | SSIM = 0.387 | Classifier = (1, 0.25)
obs_blur_forward1 | PSNR = 12.753 dB | SSIM = 0.102 | Classifier = (1, 0.20)
obs_selective_encryption_forward0 | PSNR = 17.287 dB | SSIM = 0.601 | Classifier = (4, 1.00)
obs_selective_encryption_inverse0 | PSNR = inf dB | SSIM = 1.000 | Classifier = (4, 1.00)
obs_selective_encryption_forward1 | PSNR = 5.537 dB | SSIM = 0.057 | Classifier = (8, 1.00)
obs_selective_encryption_inverse1 | PSNR = inf dB | SSIM = 1.000 | Classifier = (4, 1.00)
obs_bit_flip_forward0 | PSNR = 6.875 dB | SSIM = 0.134 | Classifier = (8, 0.60)
obs_bit_flip_inverse0 | PSNR = inf dB | SSIM = 1.000 | Classifier = (4, 1.00)
obs_bit_flip_forward1 | PSNR = 5.350 dB | SSIM = 0.014 | Classifier = (8, 1.00)
obs_bit_flip_inverse1 | PSNR = inf dB | SSIM = 1.000 | Classifier = (4, 1.00)
obs_fgsm_forward0 | PSNR = 10.055 dB | SSIM = 0.381 | Classifier = (8, 0.50)
obs_fgsm_forward1 | PSNR = 10.180 dB | SSIM = 0.399 | Classifier = (3, 0.89)
obs_pgd_forward0 | PSNR = 24.370 dB | SSIM = 0.751 | Classifier = (5, 0.83)
obs_pgd_forward1 | PSNR = 24.346 dB | SSIM = 0.757 | Classifier = (5, 0.99)
